item,x,y,width,height,label
0,1156,1461,65,59,1
1,1928,1431,1,1,1
2,2190,1428,156,92,1
3,1912,1425,52,46,1
4,1265,1392,85,83,1
5,1125,1380,159,80,1
6,1433,1376,80,67,1
7,1568,1363,72,67,1
8,1589,1336,46,16,1
9,2243,1289,1,1,1
10,2467,1285,85,75,1
11,1695,1272,28,42,1
12,2242,1259,38,23,1
13,2633,1229,71,69,1
14,2463,1190,65,39,1
15,2251,1190,140,147,1
16,2362,1134,40,55,1
17,2022,1116,160,185,1
18,2424,1072,67,96,1
19,2060,1064,182,150,1
20,2121,1055,118,82,1
21,1055,1005,138,110,1
22,0,983,38,70,1
23,2274,913,168,138,1
24,62,899,42,51,1
25,1197,891,1,1,1
26,1198,888,2,2,1
27,1071,888,133,88,1
28,109,883,25,25,1
29,1878,865,1,1,1
30,1905,851,37,43,1
31,1871,834,30,37,1
32,1936,832,18,22,1
33,1988,806,30,28,1
34,1653,805,209,173,1
35,128,804,101,96,1
36,1748,791,64,43,1
37,215,779,53,51,1
38,1604,753,63,46,1
39,2612,740,65,30,1
40,2092,731,55,55,1
41,2568,774,36,22,1
42,175,721,84,53,1
43,2522,773,32,38,1
44,2180,820,122,56,1
45,1999,889,29,28,1
46,1926,914,48,40,1
47,1204,899,123,81,1
48,1373,947,88,69,1
49,1928,946,56,75,1
50,2211,953,73,90,1
51,2284,1222,36,31,1
52,2108,1274,58,40,1
53,796,1275,55,44,1
54,1424,1320,58,45,1
55,2530,1298,174,99,1
56,856,1271,75,128,1
57,2505,1339,101,62,1
58,2121,1236,339,177,1
59,2486,1412,82,46,1
60,877,1418,51,44,1
61,1617,1402,56,68,1
62,1788,1354,143,166,1
63,1326,1289,264,231,1
64,936,1302,111,218,1
65,872,1467,102,53,1
