item,x,y,width,height,label
0,2941,3318,97,100,1
1,2862,3264,110,129,1
2,2110,2663,52,79,1
3,2064,2361,58,54,1
4,1860,2270,210,199,1
5,1992,2228,58,61,1
6,2181,2155,176,249,1
7,3280,1909,10,11,1
8,2332,1831,268,347,1
9,3155,1753,144,157,1
10,2213,1733,214,192,1
11,2088,1687,105,123,1
12,4299,1728,174,78,1
13,1144,1898,75,51,1
14,1659,1781,202,200,1
15,1135,1768,251,221,1
16,1508,1941,171,209,1
17,956,2143,114,94,1
18,1236,2123,165,129,1
19,1572,2064,285,202,1
20,2167,2182,164,114,1
21,1451,2245,131,95,1
22,2111,2250,109,111,1
23,1169,2265,122,109,1
24,1602,2312,67,66,1
25,2343,2231,83,153,1
26,2406,2336,42,53,1
27,865,2288,165,126,1
28,1575,2382,80,84,1
29,173,2279,195,190,1
30,2131,2425,85,56,1
31,2381,2454,46,66,1
32,2004,2417,92,105,1
33,2145,2515,48,41,1
34,2393,2342,167,254,1
35,525,2518,100,104,1
36,2058,2614,99,85,1
37,2522,3339,83,117,1
