item,x,y,width,height,label
0,1849,1315,151,129,1
1,2390,1294,58,59,1
2,2158,1290,44,39,1
3,2271,1287,60,58,1
4,1958,1281,34,27,1
5,1844,1268,72,41,1
6,2455,1240,121,128,1
7,2203,1236,94,85,1
8,1983,1229,46,27,1
9,2342,1165,145,123,1
10,2552,1133,42,43,1
11,1805,1022,131,168,1
12,2423,1010,69,38,1
13,1934,1000,146,101,1
14,2159,980,121,116,1
15,2502,928,31,38,1
16,2512,896,80,149,1
17,1952,896,112,80,1
18,736,811,48,63,1
19,534,780,1,1,1
20,522,777,36,56,1
21,614,764,36,35,1
22,486,744,34,28,1
23,506,775,30,31,1
24,406,685,68,86,1
25,0,762,176,110,1
26,981,844,45,50,1
27,877,815,52,85,1
28,907,882,31,33,1
29,1422,880,54,60,1
30,993,927,32,40,1
31,814,886,59,90,1
32,131,956,42,33,1
33,1486,966,36,39,1
34,1123,918,130,106,1
35,39,982,92,74,1
36,751,1041,53,53,1
37,1816,1059,39,44,1
38,1253,1091,28,33,1
39,804,1087,62,54,1
40,1832,1124,28,25,1
41,212,1137,26,39,1
42,136,1152,23,48,1
43,1750,1167,43,73,1
44,1812,1176,57,67,1
45,99,1185,54,62,1
46,600,1322,42,50,1
47,551,1421,31,23,1
48,1606,1412,36,34,1
49,663,1392,65,64,1
50,531,1442,62,47,1
51,1803,1471,35,35,1
52,1556,1442,73,67,1
53,596,1477,37,43,1
54,199,1445,161,75,1
