item,x,y,width,height,label
0,848,1322,28,35,1
1,864,1319,2,2,1
2,1096,1290,1,1,1
3,1095,1287,2,2,1
4,1036,1280,71,48,1
5,526,1270,120,88,1
6,1179,1244,50,38,1
7,672,1232,63,30,1
8,856,1199,158,133,1
9,324,1193,42,51,1
10,736,1188,27,19,1
11,349,1187,23,17,1
12,765,1184,26,24,1
13,638,1179,47,48,1
14,607,1168,61,35,1
15,720,1159,60,36,1
16,484,1144,81,64,1
17,537,1132,13,20,1
18,760,1100,45,41,1
19,1594,1094,63,52,1
20,854,1090,101,81,1
21,973,1088,21,17,1
22,321,1061,88,74,1
23,856,1052,37,50,1
24,491,1042,71,102,1
25,1210,1040,45,44,1
26,584,1010,131,105,1
27,807,992,58,62,1
28,944,989,276,227,1
29,842,981,1,1,1
30,840,981,1,1,1
31,1218,977,88,83,1
32,838,924,57,61,1
33,2121,910,56,104,1
34,986,910,26,21,1
35,930,894,57,65,1
36,1051,886,55,39,1
37,2149,877,26,25,1
38,2030,869,38,26,1
39,977,864,70,46,1
40,2138,861,29,30,1
41,788,858,96,50,1
42,1400,857,147,94,1
43,694,824,49,39,1
44,1878,819,45,42,1
45,873,802,38,30,1
46,667,740,27,27,1
47,2017,733,38,33,1
48,1351,733,68,59,1
49,858,732,68,47,1
50,1231,731,97,68,1
51,873,805,10,4,1
52,1023,698,189,144,1
53,2177,796,32,29,1
54,793,786,52,44,1
55,713,796,71,40,1
56,1511,793,36,48,1
57,884,806,60,46,1
58,799,834,37,35,1
59,696,834,45,40,1
60,1957,837,47,38,1
61,1041,852,79,52,1
62,918,854,83,69,1
63,1596,896,55,43,1
64,1941,911,41,31,1
65,960,934,70,47,1
66,1073,937,63,45,1
67,911,908,108,122,1
68,1906,987,38,47,1
69,970,1000,63,40,1
70,913,1020,49,46,1
71,1103,1086,1,1,1
72,1107,1094,1,1,1
73,2315,1062,51,38,1
74,981,1086,50,49,1
75,1040,1086,89,55,1
76,2143,1122,40,42,1
77,1972,1186,42,40,1
78,2065,1192,55,39,1
79,584,1238,2,2,1
80,1792,1205,63,41,1
81,1395,1203,47,47,1
82,1376,1252,1,1,1
83,1336,1225,40,34,1
84,1870,1220,43,41,1
85,556,1190,48,87,1
86,115,1245,50,45,1
87,945,1232,58,60,1
88,1045,1275,27,22,1
89,2104,1259,38,43,1
90,0,1256,58,49,1
91,1962,1286,48,26,1
92,756,1264,43,54,1
93,2010,1283,51,41,1
94,982,1284,59,50,1
95,1660,1311,36,35,1
96,1298,1330,46,26,1
97,1811,1323,35,39,1
98,1440,1308,91,56,1
99,1525,1363,6,3,1
100,559,1329,78,51,1
101,1198,1366,51,38,1
102,1506,1359,44,50,1
103,1574,1387,80,52,1
104,1812,1452,1,1,1
105,988,1455,55,38,1
106,1234,1496,1,1,1
107,1691,1454,25,44,1
108,1781,1444,30,56,1
109,1081,1478,46,25,1
110,1228,1467,68,44,1
111,1710,1416,98,104,1
112,602,1357,191,163,1
